"","BAIRRO","NM_VOTAVEL","votos_bairro","votos_cand","freq_cand"
"61","AZENHA","JULIO CESAR LEIRIAS FLORES",8523,8,0.0938636630294497
"62","AZENHA","LUIZ DELVAIR MARTINS BARROS",8523,3,0.0351988736360436
"63","AZENHA","MANUELA PINTO VIEIRA D AVILA",8523,2786,32.6880206500059
"64","AZENHA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",8523,22,0.258125073330987
"65","AZENHA","NELSON MARCHEZAN JÚNIOR",8523,1708,20.0398920567875
"66","AZENHA","RODRIGO MARINI MARONI",8523,40,0.469318315147249
"67","AZENHA","SEBASTIÃO DE ARAÚJO MELO",8523,2452,28.7692127185263
"68","AZENHA","VALTER LUIS DA COSTA NAGELSTEIN",8523,254,2.98017130118503
"69","BELA VISTA","FERNANDA MELCHIONNA E SILVA",1230,24,1.95121951219512
"70","BELA VISTA","GUSTAVO BOHRER PAIM",1230,22,1.78861788617886
"71","BELA VISTA","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",1230,10,0.813008130081301
"72","BELA VISTA","JULIANA BRIZOLA",1230,52,4.22764227642276
"73","BELA VISTA","MANUELA PINTO VIEIRA D AVILA",1230,229,18.6178861788618
"74","BELA VISTA","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",1230,5,0.40650406504065
"75","BELA VISTA","NELSON MARCHEZAN JÚNIOR",1230,304,24.7154471544715
"76","BELA VISTA","RODRIGO MARINI MARONI",1230,2,0.16260162601626
"77","BELA VISTA","SEBASTIÃO DE ARAÚJO MELO",1230,522,42.4390243902439
"78","BELA VISTA","VALTER LUIS DA COSTA NAGELSTEIN",1230,60,4.8780487804878
"79","BELÉM NOVO","FERNANDA MELCHIONNA E SILVA",6395,196,3.06489444878812
"80","BELÉM NOVO","GUSTAVO BOHRER PAIM",6395,50,0.781860828772479
"81","BELÉM NOVO","JOÃO DERLY DE OLIVEIRA NUNES JUNIOR",6395,391,6.11415168100078
"82","BELÉM NOVO","JULIANA BRIZOLA",6395,410,6.41125879593432
"83","BELÉM NOVO","JULIO CESAR LEIRIAS FLORES",6395,2,0.0312744331508991
"84","BELÉM NOVO","LUIZ DELVAIR MARTINS BARROS",6395,4,0.0625488663017983
"85","BELÉM NOVO","MANUELA PINTO VIEIRA D AVILA",6395,1612,25.2071931196247
"86","BELÉM NOVO","MONTSERRAT ANTÔNIO DE VASCONCELLOS MARTINS",6395,6,0.0938232994526974
"87","BELÉM NOVO","NELSON MARCHEZAN JÚNIOR",6395,1408,22.017200938233
"88","BELÉM NOVO","RODRIGO MARINI MARONI",6395,39,0.609851446442533
"89","BELÉM NOVO","SEBASTIÃO DE ARAÚJO MELO",6395,2132,33.3385457388585
"90","BELÉM NOVO","VALTER LUIS DA COSTA NAGELSTEIN",6395,145,2.26739640344019
"91","BELÉM VELHO","FERNANDA MELCHIONNA E SILVA",4683,248,5.29575058723041
"92","BELÉM VELHO","GUSTAVO BOHRER PAIM",4683,63,1.34529147982063
